Airline,Source,Destination,Stops
2B,AER,KZN,0
2B,ASF,KZN,0
2B,ASF,MRV,0
2B,CEK,KZN,0
2B,CEK,OVB,0
2B,DME,KZN,0
2B,DME,NBC,0
2B,DME,TGK,0
2B,DME,UUA,0
2B,EGO,KGD,0
2B,EGO,KZN,0
2B,GYD,NBC,0
2B,KGD,EGO,0
2B,KZN,AER,0
2B,KZN,ASF,0
2B,KZN,CEK,0
2B,KZN,DME,0
2B,KZN,EGO,0
2B,KZN,LED,0
2B,KZN,SVX,0
2B,LED,KZN,0
2B,LED,NBC,0
2B,LED,UUA,0
2B,MRV,ASF,0
2B,NBC,DME,0
2B,NBC,GYD,0
2B,NBC,LED,0
2B,NBC,SVX,0
2B,NJC,SVX,0
2B,NJC,UUA,0
2B,NUX,SVX,0
2B,OVB,CEK,0
2B,OVB,SVX,0
2B,SVX,KZN,0
2B,SVX,NBC,0
2B,SVX,NJC,0
2B,SVX,NUX,0
2B,SVX,OVB,0
2B,TGK,DME,0
2B,UUA,DME,0
2B,UUA,LED,0
2B,UUA,NJC,0
2G,BTK,IKT,0
2G,BTK,OVB,0
2G,CEK,OVB,0
2G,HTA,IKT,0
2G,IKT,BTK,0
2G,IKT,HTA,0
2G,IKT,KCK,0
2G,IKT,ODO,0
2G,IKT,OVB,0
2G,IKT,UKX,0
2G,IKT,ULK,0
2G,IKT,YKS,0
2G,KCK,IKT,0
2G,MJZ,OVB,0
2G,ODO,IKT,0
2G,OVB,BTK,0
2G,OVB,CEK,0
2G,OVB,IKT,0
2G,UKX,IKT,0
2G,ULK,IKT,0
2G,YKS,IKT,0
2I,AYP,LIM,0
2I,CUZ,LIM,0
2I,CUZ,PEM,0
2I,HUU,LIM,0
2I,IQT,PCL,0
2I,IQT,TPP,0
2I,LIM,AYP,0
2I,LIM,CUZ,0
2I,LIM,HUU,0
2I,LIM,PCL,0
2I,LIM,TPP,0
2I,PCL,IQT,0
2I,PCL,LIM,0
2I,PCL,TPP,0
2I,PEM,CUZ,0
2I,TPP,IQT,0
2I,TPP,LIM,0
2I,TPP,PCL,0
2J,ABJ,BOY,0
2J,ABJ,OUA,0
2J,ACC,OUA,0
2J,BKO,ABJ,0
2J,BKO,DKR,0
2J,BKO,OUA,0
2J,BOY,ABJ,0
2J,BOY,OUA,0
2J,COO,LFW,0
2J,COO,OUA,0
2J,DKR,BKO,0
2J,DKR,OUA,0
2J,LFW,OUA,0
2J,NIM,OUA,0
2J,OUA,ABJ,0
2J,OUA,ACC,0
2J,OUA,BKO,0
2J,OUA,BOY,0
2J,OUA,COO,0
2J,OUA,DKR,0
2J,OUA,LFW,0
2J,OUA,NIM,0
2K,BOG,GYE,0
2K,BOG,UIO,0
2K,CLO,GYE,0
2K,GYE,BOG,0
2K,GYE,CLO,0
2K,GYE,SCY,0
2K,GYE,UIO,0
2K,OCC,UIO,0
2K,SCY,GYE,0
2K,UIO,BOG,0
2K,UIO,GYE,0
2K,UIO,OCC,0
2L,BDS,ZRH,0
2L,BOD,ZRH,0
2L,BRS,ZRH,0
2L,GVA,LPA,0
2L,LCA,ZRH,0
2L,LPA,ZRH,0
2L,RMF,ZRH,0
2L,TFS,GVA,0
2L,ZRH,BDS,0
2L,ZRH,BOD,0
2L,ZRH,BRS,0
2L,ZRH,LCA,0
2L,ZRH,LPA,0
2L,ZRH,RMF,0
2N,AJR,LYC,0
2N,ARN,GEV,0
2N,ARN,HAD,0
2N,ARN,JKG,0
2N,ARN,KRF,0
2N,ARN,KSD,0
2N,ARN,LYC,0
2N,ARN,MHQ,0
2N,ARN,OER,0
2N,ARN,POR,0
2N,ARN,TRF,0
2N,ARN,VBY,0
2N,ARN,VHM,0
2N,ARN,VXO,0
2N,GEV,ARN,0
2N,GEV,KRF,0
2N,HAD,ARN,0
2N,HAD,JKG,0
2N,HAD,VXO,0
2N,HMV,VHM,0
2N,JKG,ARN,0
2N,JKG,HAD,0
2N,KOK,POR,0
2N,KRF,ARN,0
2N,KRF,GEV,0
2N,KSD,ARN,0
2N,LYC,AJR,0
2N,LYC,ARN,0
2N,MHQ,ARN,0
2N,MHQ,TKU,0
2N,OER,ARN,0
2N,OSL,VXO,0
2N,POR,ARN,0
2N,POR,KOK,0
2N,TKU,MHQ,0
2N,TRF,ARN,0
2N,VBY,ARN,0
2N,VHM,ARN,0
2N,VHM,HMV,0
2N,VXO,ARN,0
2N,VXO,OSL,0
2O,ADQ,AOS,0
2O,ADQ,KKB,0
2O,ADQ,KLN,0
2O,ADQ,KOZ,0
2O,ADQ,OLH,0
2O,AOS,KZB,0
2O,KKB,SYB,0
2O,KLN,KYK,0
2O,KOZ,ORI,0
2O,SYB,KPR,0
2P,BSO,MNL,0
2P,BXU,MNL,0
2P,CBO,MNL,0
2P,CGY,MNL,0
2P,CRM,MNL,0
2P,DGT,MNL,0
2P,DWC,MNL,0
2P,GES,MNL,0
2P,KLO,MNL,0
2P,LGP,MNL,0
2P,MNL,BSO,0
2P,MNL,BXU,0
2P,MNL,CBO,0
2P,MNL,CGY,0
2P,MNL,CRM,0
2P,MNL,DGT,0
2P,MNL,DWC,0
2P,MNL,GES,0
2P,MNL,KLO,0
2P,MNL,LGP,0
2P,MNL,MPH,0
2P,MNL,OZC,0
2P,MNL,PPS,0
2P,MNL,RXS,0
2P,MNL,SUG,0
2P,MNL,TUG,0
2P,MNL,ZAM,0
2P,MPH,MNL,0
2P,OZC,MNL,0
2P,PPS,MNL,0
2P,RXS,MNL,0
2P,SUG,MNL,0
2P,TUG,MNL,0
2P,ZAM,MNL,0
2Z,AUX,PMW,0
2Z,BRA,BSB,0
2Z,BRA,SSA,0
2Z,BSB,BRA,0
2Z,BSB,OPS,0
2Z,BSB,RAO,0
2Z,CAC,GRU,0
2Z,CGB,GYN,0
2Z,CGB,OPS,0
2Z,CGR,DOU,0
2Z,DOU,CGR,0
2Z,DOU,GRU,0
2Z,GIG,RAO,0
2Z,GRU,CAC,0
2Z,GRU,DOU,0
2Z,GRU,RAO,0
2Z,GRU,UBA,0
2Z,GRU,UDI,0
2Z,GRU,VDC,0
2Z,GYN,CGB,0
2Z,GYN,PMW,0
2Z,GYN,RAO,0
2Z,GYN,UDI,0
2Z,OPS,BSB,0
2Z,OPS,CGB,0
2Z,PLU,RAO,0
